name,headline,imageUrl,photoCredit,realTimeWorth,realTimeRank,listWorth,listName,bioPoints,forbesRanks,forbesLists,statTitles,statValues
Sam Goi,,"https://imageio.forbes.com/specials-images/imageserve/5a80f48da7ea431690133ed6/0x0.jpg?format=jpg&crop=1856,1856,x2618,y500,safe&height=416&width=416&fit=bounds",Photo by JOSEPH NAIR/The Business Times/Newscom,$3B,#1274 in the world today,$2.45B,Singapore's 50 Richest,"Son of a Fujian farmer, Sam Goi owns Tee Yih Jia Food Manufacturing, one of the
world's largest makers of popiah skins, which are used for spring rolls.",#1462,Billionaires (2025),Age,78
Arvind Tiku,,"https://imageio.forbes.com/specials-images/imageserve/579b39f7a7ea4374a7c66ecf/0x0.jpg?format=jpg&crop=651,651,x60,y103,safe&height=416&width=416&fit=bounds",,$2.4B,#1528 in the world today,$2.4B,Singapore's 50 Richest,"Indian-born Singapore resident Arvind Tiku has interests in property and
renewable energy, held through his privately owned Singapore firms AT Holdings
and AT Investments.",#1513,Billionaires (2025),Age,55
Ji Qi,,"https://imageio.forbes.com/specials-images/imageserve/5c6e98b7a7ea431000430481/0x0.jpg?format=jpg&crop=3632,3635,x16,y164,safe&height=416&width=416&fit=bounds",Photo by Imagine China/Newscom,$2.7B,#1407 in the world today,$2.35B,Singapore's 50 Richest,"Ji Qi is the founder and executive chairman of H World Group, one of China's
biggest multi-brand hotel groups.",#1219,Billionaires (2025),Age,58
Liang Xinjun,,"https://imageio.forbes.com/specials-images/imageserve/66d73081bf253330068fdfc4/0x0.jpg?format=jpg&crop=836,835,x36,y155,safe&height=416&width=416&fit=bounds",Photo by Giulia Marchi/Bloomberg,$2.3B,#1606 in the world today,$2.3B,Singapore's 50 Richest,"Liang Xinjun is a former vice chairman and CEO of conglomerate Fosun
International.",#1573,Billionaires (2025),Age,56
Oei Hong Leong,,"https://imageio.forbes.com/specials-images/imageserve/61115a5bd5d51f7f93419c4e/0x0.jpg?format=jpg&crop=671,671,x0,y0,safe&height=416&width=416&fit=bounds",Photo by Munshi Ahmed for Forbes,$2.3B,#1657 in the world today,$2.2B,Singapore's 50 Richest,"Late Indonesian billionaire Eka Tjipta Widjaja's son, Oei Hong Leong, gets bulk
of his wealth from a corporate bond portfolio and real estate assets.",#1626,Billionaires (2025),Age,77
Peter Lim,,"https://imageio.forbes.com/specials-images/imageserve/5e779f66c7b02d000666d9cd/0x0.jpg?format=jpg&crop=862,863,x68,y74,safe&height=416&width=416&fit=bounds",Photo by Chris Brunskill/Fantasista/Getty Images,$1.7B,#2131 in the world today,$1.75B,Singapore's 50 Richest,"After cashing out of palm oil giant Wilmar more than a decade ago, former
stockbroker Peter Lim focused on healthcare, property and sports.",#2110,Billionaires (2025),Age,72
Ong Beng Seng & Christina Ong,,"https://imageio.forbes.com/specials-images/imageserve/66d730f489b92a9dd082a17c/0x0.jpg?format=jpg&crop=1316,1316,x0,y76,safe&height=416&width=416&fit=bounds",Photo by Qian Jun/MB Media/Getty Images,$1.7B,,,Singapore's 50 Richest,"Ong Beng Seng (pictured) and his wife Christina Ong are one of Singapore's most
influential couples.",#27,Singapore's 50 Richest (2024),Source of Wealth,Diversified
Asok Kumar Hiranandani,,"https://imageio.forbes.com/specials-images/imageserve/61115e4fe1be2f8419419c4e/0x0.jpg?format=jpg&crop=322,322,x0,y254,safe&height=416&width=416&fit=bounds",Photo by Munshi Ahmed for Forbes,$1.7B,#2096 in the world today,$1.65B,Singapore's 50 Richest,"Asok Kumar Hiranandani is a cofounder of the erstwhile Royal Brothers property
group.",#2110,Billionaires (2025),Age,70
Koh Wee Meng,,"https://imageio.forbes.com/specials-images/imageserve/5c71f05231358e35dd26fbac/0x0.jpg?format=jpg&crop=2530,2528,x1211,y27,safe&height=416&width=416&fit=bounds",Photo by The Edge Singapore,$1.9B,#1910 in the world today,$1.61B,Singapore's 50 Richest,"Hotelier and property magnate Koh Wee Meng controls Fragrance Group with
interests extending to Australia and the U.K. He took the Singapore-listed
company private in 2021.",#1850,Billionaires (2025),Age,61
Ron Sim,,"https://imageio.forbes.com/specials-images/imageserve/596e819b31358e4463b76550/0x0.jpg?format=jpg&crop=1333,1334,x290,y294,safe&height=416&width=416&fit=bounds",Photo by V3 Group,$1.7B,#2145 in the world today,$1.6B,Singapore's 50 Richest,"Ron Sim is the founder of OSIM International, maker of high-end massage chairs.",#2110,Billionaires (2025),Age,66
Min-Liang Tan,,"https://imageio.forbes.com/specials-images/imageserve/66d731717a4303ff97c9bf09/0x0.jpg?format=jpg&crop=477,476,x561,y48,safe&height=416&width=416&fit=bounds",Photo by Forbes Asia,$1.5B,#2282 in the world today,$1.55B,Singapore's 50 Richest,"Min-Liang Tan gave up a law career in Singapore to start gaming devices company
Razer in 2005.",#2110,Billionaires (2025),Age,47
Tay family,,"https://imageio.forbes.com/specials-images/imageserve/66d729490600091fef06f71d/0x0.jpg?format=jpg&crop=800,800,x0,y0,safe&height=416&width=416&fit=bounds",,$1.53B,,,Singapore's 50 Richest,The Tays are best known for their midmarket OG department stores.,#32,Singapore's 50 Richest (2024),Source of Wealth,"Retail, property"
Tang Wee Kit & family,,"https://imageio.forbes.com/specials-images/imageserve/5d5ff93295808800097daf67/0x0.jpg?format=jpg&crop=965,966,x135,y561,safe&height=416&width=416&fit=bounds",Photo by Munshi Ahmed,$1.5B,,,Singapore's 50 Richest,"Tang Wee Kit is the chairman of Tang Holdings, a private investment and property
firm.",#33,Singapore's 50 Richest (2024),Age,70
